name,symbol,logo,historicalFile,url
Wrapped Gen-0 CryptoKitties,WG0,WG0.png,WG0.csv,/currencies/wrapped-gen-0-cryptokitties/
ZrCoin,ZRC,ZRC.png,ZRC.csv,/currencies/zrcoin/
Internxt,INXT,INXT.png,INXT.csv,/currencies/internxt/
Beacon,BECN,BECN.png,BECN.csv,/currencies/beacon/
Throne,THN,THN.png,THN.csv,/currencies/throne/
GeoCoin,GEO,GEO.png,GEO.csv,/currencies/geocoin/
NFTX Hashmasks Index,MASK,MASK.png,MASK.csv,/currencies/nftx-hashmasks-index/
 Chain,VNT,VNT.png,VNT.csv,/currencies/vnt-chain/
Shard,SHARD,SHARD.png,SHARD.csv,/currencies/shard/
StakerDAO,STKR,STKR.png,STKR.csv,/currencies/stakerdao/
Ethverse,ETHV,ETHV.png,ETHV.csv,/currencies/ethverse/
BitDegree,BDG,BDG.png,BDG.csv,/currencies/bitdegree/
HollyGold,HGOLD,HGOLD.png,HGOLD.csv,/currencies/hollygold/
NFTify,N1,N1.png,N1.csv,/currencies/nftify/
TouchCon,TOC,TOC.png,TOC.csv,/currencies/touchcon/
HOQU,HQX,HQX.png,HQX.csv,/currencies/hoqu/
Heart Number,HTN,HTN.png,HTN.csv,/currencies/heartnumber/
Blue Whale EXchange,BWX,BWX.png,BWX.csv,/currencies/blue-whale-exchange/
Delphy,DPY,DPY.png,DPY.csv,/currencies/delphy/
TotemFi,TOTM,TOTM.png,TOTM.csv,/currencies/totemfi/
 Finance,SOTA,SOTA.png,SOTA.csv,/currencies/sota-finance/
Buying.com,WBUY,WBUY.png,WBUY.csv,/currencies/buying-com/
ByteNext,BNU,BNU.png,BNU.csv,/currencies/bytenext/
Bitcoin Green,BITG,BITG.png,BITG.csv,/currencies/bitcoin-green/
8X8 PROTOCOL,EXE,EXE.png,EXE.csv,/currencies/8x8-protocol/
Bitgear,GEAR,GEAR.png,GEAR.csv,/currencies/bitgear/
DeHive,DHV,DHV.png,DHV.csv,/currencies/dehive/
Ethereum Yield,ETHY,ETHY.png,ETHY.csv,/currencies/ethereum-yield/
Scorum Coins,SCR,SCR.png,SCR.csv,/currencies/scorum-coins/
